Species	Lat	Long
Historis_odius	11.142812	-74.116677
Historis_odius	9.811626	-83.551758
Historis_odius	19.580334	-88.044096
Historis_odius	10.513275	-61.271454
Historis_odius	-20.771568	-42.84185
Historis_odius	18.343631	-74.409166
Historis_odius	19.207222	-69.335
Historis_odius	18.526227	-69.999729
Historis_odius	15.810809	-87.931586
Historis_odius	-22.786845	-45.784212
Historis_odius	-12.551092	-38.023322
Historis_odius	3.752782	-59.309885
Historis_odius	18.456321	-77.326699
Historis_odius	8.01222	-61.908216
Historis_odius	-12.983717	-38.462882
Historis_odius	10.356222	-66.990002
Historis_odius	-7.923776	-35.165012
Historis_odius	-3.064811	-59.977888
Historis_odius	-7.55821	-72.715855
Historis_odius	-4.389149	-69.138393
Historis_odius	18.274294	-77.632586
Historis_odius	18.448608	-72.281703
Historis_odius	-20.332982	-40.42729
Historis_odius	-6.442095	-50.327295
Historis_odius	-6.996084	-34.957746
Historis_odius	-3.805956	-38.583696
Historis_odius	-14.167611	-47.743589
Historis_odius	15.661639	-93.03019
Historis_odius	6.137728	-75.571853
Historis_odius	0.077291	-69.691316
Historis_odius	-7.902349	-35.031332
Historis_odius	-5.477199	-67.47917
Historis_odius	-21.774139	-43.369724
Historis_odius	-7.886526	-34.848744
Historis_odius	6.815089	-58.148084
Historis_odius	15.693943	-86.901826
Historis_odius	18.229366	-66.870239
